編號,名稱,地區,類型,地區/大樓,地址,緯度,經度,營業時間,評分,每人價位,GoogleMaps連結,核實日期
1,MERCY Vegan Factory,大阪,全素 Vegan｜烘焙坊・咖啡廳,谷町九丁目・中央區,大阪市中央区瓦屋町 2-4-15,34.670015,135.513484,早餐 8:00-10:30　午餐 10:30-17:00（LO16:00） / 晚餐 18:00-21:00（LO20:00）　週六公休,4.9,"約 ¥1,500／午・¥2,000／晚（每人）","https://www.google.com/maps/search/?api=1&query=34.670015,135.513484",2026-06-28
2,TW Vegan Night Market,大阪,全素 Vegan｜台灣料理・自助餐,天王寺・西成區,大阪市西成区山王 1-1-10 天王寺公園ヴィラ 105号,34.64824,135.507634,※請查 Instagram / Google Maps 確認最新時間,4.7,"約 ¥2,000–2,700／人（秤重自助）","https://www.google.com/maps/search/?api=1&query=34.64824,135.507634",2026-06-28
3,Unique (V) Pizzeria SUKHASANA,大阪,全素 Vegan｜義式料理,松屋町・中央區,大阪市中央区松屋町住吉 5-24 ハイツ澤 1F,34.679003,135.511812,11:30-14:30　17:30-22:00　週二公休,4.8,"約 ¥1,800–2,500／人","https://www.google.com/maps/search/?api=1&query=34.679003,135.511812",2026-07-14
4,Shojin Sushi Minamo 精進寿司みなも,大阪,全素+無麩質 Vegan & GF｜壽司,心齋橋・中央區,大阪市中央区西心斎橋 1-10-4 Ace Building B1F,34.67398,135.499325,週五至週二 17:30-21:00（LO）　週三・四公休,4.9,"約 ¥2,800–4,000／人（套餐 ¥2,780・建議預約）","https://www.google.com/maps/search/?api=1&query=34.67398,135.499325",2026-07-14
5,Folksaka,大阪,全素+無麩質 Vegan & GF｜烘焙坊,大阪市北部,（請查 Google Maps 確認地址）,34.695223,135.488093,請查 Google Maps 確認最新時間,5.0,"約 ¥1,500–2,500／人","https://www.google.com/maps/search/?api=1&query=34.695223,135.488093",2026-06-28
6,Rocca,大阪,全素 Vegan｜日本料理・有機・宏觀生物,東住吉（Higashisumiyoshi）,大阪市東住吉区田辺 3-26-5,34.623617,135.523797,請查 Facebook / Google Maps 確認（不定期）,4.7,"約 ¥1,300／人（午晚套餐）","https://www.google.com/maps/search/?api=1&query=34.623617,135.523797",2026-06-28
7,Brown Rice Sushi TEC 玄米のおすしテック,大阪,全素+無麩質 Vegan & GF｜壽司・外帶・外送,新大阪（Shin-Osaka）・淀川區,大阪市淀川区西中島 6-8-23 B Plus Building 102,34.728088,135.494912,請查官網 genmaisushi.jp 或 Uber Eats 確認,4.8,"約 ¥800–1,500／人（外帶・玄米丼 ¥780 起）","https://www.google.com/maps/search/?api=1&query=34.728088,135.494912",2026-06-28
8,OKO Takoyaki,大阪,全素+無麩質 Vegan & GF｜章魚燒・炸串,心齋橋（Shinsaibashi）・中央區,大阪市中央区東心斎橋 1-13-9 2F,34.672548,135.503439,每日 17:45-23:00,4.6,"約 ¥1,500–2,000／人","https://www.google.com/maps/search/?api=1&query=34.672548,135.503439",2026-07-14
9,Green Earth,大阪,全素 Vegan｜日本料理・義式・西洋料理,本町（Honmachi）・中央區,大阪市中央区北久宝寺町 4-2-2 久宝ビル 1F,34.67979,135.49928,週一至六 11:30-17:00（LO16:30）　週日・假日公休,4.5,"約 ¥1,000–1,300／人（午套餐 ¥1,100）","https://www.google.com/maps/search/?api=1&query=34.67979,135.49928",2026-06-28
10,Neu Cat Cafe（shelter cat & VEGAN café neu）,大阪,全素 Vegan｜貓咖啡廳・日式家常菜,谷町（Tanimachi）・中央區,大阪市中央区谷町 6-17-5,34.674764,135.513591,平日 13:00-21:00　週末 12:00-20:00　週三公休 / （週末供應餐點，平日僅供應飲品）,4.6,"入場 ¥1,800／時（會員 ¥1,500）＋餐飲另計","https://www.google.com/maps/search/?api=1&query=34.674764,135.513591",2026-06-28
11,Shinsekai Paprika Shokudo Vegan 新世界パプリカ食堂,大阪,全素+無麩質 Vegan & GF｜大阪B級美食,新世界（Shinsekai）・浪速區・通天閣旁,大阪市浪速区恵比寿東 3-4-5（じゃんじゃん横丁の奥）,34.6515,135.5065,12:00-14:30　17:30-21:00　週三公休（另有不定期休）,4.5,"約 ¥1,500–2,500／人","https://www.google.com/maps/search/?api=1&query=34.6515,135.5065",2026-06-28
12,The Fire Bar（The Fire Vegan Ramen Bar）,大阪,全素 Vegan｜拉麵吧・調酒,心齋橋（Shinsaibashi）・中央區,大阪市中央区西心斎橋 2-9-36 Casadomart Building 2F,34.6698,135.4985,11:30-15:00　20:00-02:00（翌日）　週一公休,4.6,"約 ¥1,000–1,500／人","https://www.google.com/maps/search/?api=1&query=34.6698,135.4985",2026-07-14
13,Pivot BASE Cafe & Bar @Dotonbori,大阪,全素 Vegan｜大阪B級美食・咖啡・酒吧,道頓堀（Dotonbori）・中央區,大阪市中央区道頓堀 1-7-21（喰い倒れビル 1F）,34.6692,135.5024,每日 11:30-22:30,4.4,"約 ¥1,500–2,500／人","https://www.google.com/maps/search/?api=1&query=34.6692,135.5024",2026-06-28
14,Koisus Vegan Curry & Tempura（梅田店）,大阪,全素 Vegan｜咖哩・天婦羅,中崎町（Nakazakicho）・北區,大阪市北区中崎西（近中崎町站，詳見 Tabelog）,34.7040,135.5080,請查 Tabelog 或 Google Maps 確認（週三公休）,4.5,"約 ¥1,300–1,800／人","https://www.google.com/maps/search/?api=1&query=34.7040,135.5080",2026-06-28
15,Vegan & GF Osaka — The Second Room Cafe,大阪,全素+無麩質 Vegan & GF｜咖啡廳,梅田（Umeda）・北區（大阪駅前第4ビル地下）,大阪市北区梅田 1-11-4 大阪駅前第4ビル B1F-14号,34.6996,135.4963,11:00-22:00（LO21:30）　週三公休　1/1-1/3 公休,4.7,"約 ¥1,500–2,500／人","https://www.google.com/maps/search/?api=1&query=34.6996,135.4963",2026-06-28
16,Taiwan Rakuzen 台湾ベジキッチン楽膳,大阪,全素 Vegan｜台灣料理・便當・外送,東三国（Higashimikuni）・淀川區,近 Higashimikuni Station（步行1分鐘）,34.7400,135.4980,週三至日 11:30-15:00　17:00-21:00（晚餐需預約）　週一・二公休,4.8,"約 ¥1,000–2,000／人（便當 ¥864 起）","https://www.google.com/maps/search/?api=1&query=34.7400,135.4980",2026-06-28
17,HI-RI-N 飛輪,大阪,素食 Vegetarian（含蛋奶）,大阪市,請查 HappyCow / Google Maps 確認,34.6750,135.5050,請查 Google Maps 確認,4.7,"約 ¥1,600–2,000／人（建議預約）","https://www.google.com/maps/search/?api=1&query=34.6750,135.5050",2026-06-28
18,Ramen Kiou ラーメン貴王（JR 新大阪站）,大阪,部分素食 Veg-options｜拉麵,新大阪站（Shin-Osaka）・淀川區,JR 新大阪站內（月台附近）,34.7332,135.5000,依車站營業時間,4.2,"約 ¥1,000–1,500／人","https://www.google.com/maps/search/?api=1&query=34.7332,135.5000",2026-06-28
19,Sawa,大阪,部分素食 Veg-options,大阪市,請查 HappyCow / Google Maps 確認,34.6730,135.5100,請查 Google Maps 確認,4.3,"約 ¥1,000–2,000／人","https://www.google.com/maps/search/?api=1&query=34.6730,135.5100",2026-06-28
20,Asakara Good Store,大阪,部分素食 Veg-options,大阪市,請查 HappyCow / Google Maps 確認,34.6760,135.5080,請查 Google Maps 確認,4.3,"約 ¥1,000–2,000／人","https://www.google.com/maps/search/?api=1&query=34.6760,135.5080",2026-06-28
21,W Holistic Cafe,大阪,部分素食 Veg-options｜健康餐廳,大阪市,請查 HappyCow / Google Maps 確認,34.6770,135.5030,請查 Google Maps 確認,4.4,"約 ¥2,000–3,000／人","https://www.google.com/maps/search/?api=1&query=34.6770,135.5030",2026-06-28
22,Sasanohapan,大阪,素食烘焙坊 Vegetarian Bakery,大阪市,請查 HappyCow / Google Maps 確認,34.6780,135.5140,請查 Google Maps 確認,4.3,"約 ¥500–1,500／人（依採購）","https://www.google.com/maps/search/?api=1&query=34.6780,135.5140",2026-06-28
23,Kirschblute キルシュブルーテ,大阪,素食烘焙坊 Vegetarian Bakery,大阪市,請查 HappyCow / Google Maps 確認,34.6800,135.5060,請查 Google Maps 確認,4.2,"約 ¥800–1,500／人（依採購）","https://www.google.com/maps/search/?api=1&query=34.6800,135.5060",2026-06-28
24,Ododo Falafel Sandwich おどどファラフェル,大阪,部分素食 Veg-options｜中東料理,大阪市,請查 HappyCow / Google Maps 確認,34.6790,135.5020,請查 Google Maps 確認,4.3,"約 ¥870–1,300／人","https://www.google.com/maps/search/?api=1&query=34.6790,135.5020",2026-06-28
25,Life Shimodera ライフ下寺店,大阪,健康食品店 Health Store,難波（Namba）附近・浪速區,請查 HappyCow / Google Maps 確認,34.6560,135.5100,請查 Google Maps 確認,4.0,超市・依採購,"https://www.google.com/maps/search/?api=1&query=34.6560,135.5100",2026-06-28
26,Halal Ramen Naniwaya 浪速屋,大阪,拉麵｜清真 Halal（含蔬食拉麵）,西心齋橋・中央區（獨立店面・御堂筋ドンキ後方）,大阪市中央区西心斎橋 2-7-22,34.66966,135.49817,平日 12:00-15:00 / 18:00-22:00（LO21:30） / 週六日假日 12:00-22:00（LO21:30）,"4.6 ★（約 5,963 則）","約 ¥900–1,500／人","https://www.google.com/maps/search/?api=1&query=34.66966,135.49817",2026-06-29
27,CHIBO Diversity 道頓堀（素食友善店）,大阪,大阪燒｜素食/純素・無五辛・無麩質・清真,千房道頓堀ビル 7F・道頓堀,大阪市中央区道頓堀 1-5-5 千房道頓堀ビル 7F,34.66886,135.50391,週日-三・五六 12:00-15:00 / 17:00-22:00 / 週四 17:00-24:00（LO 打烊前 1 小時）,4.0 ★（約 156 則）,"約 ¥1,500–3,000／人","https://www.google.com/maps/search/?api=1&query=34.66886,135.50391",2026-06-29
28,Hana-Goyomi 花暦（飯店內 10F）,大阪,日本料理｜懷石・壽司・天婦羅（有素食菜單）,Swissôtel 南海大阪 10F・難波,大阪市中央区難波 5-1-60 スイスホテル南海大阪 10F,34.66237,135.50183,午餐 11:30-15:00（週末假日 11:00-） / 晚餐 17:30-21:00（週五六及假日前 -21:30）,3.9 ★｜食べログ 3.32,"午 ¥5,000–7,000／晚 ¥11,000 起／人（需預約）","https://www.google.com/maps/search/?api=1&query=34.66237,135.50183",2026-06-29
29,Paprika Shokudo Vegan 本店（新町）,大阪,全素 Vegan｜日式蔬食・可外帶,アリビオ新町 1F・西區新町（四ツ橋）,大阪市西区新町 1-9-9 アリビオ新町 1F,34.67728,135.49645,11:30-15:00（餐 LO14:00）/ 17:30-21:00（餐 LO20:00） / 週三公休＋不定休,"4.6 ★（約 1,201 則）","午 ¥1,650–1,950／晚約 ¥3,000／人","https://www.google.com/maps/search/?api=1&query=34.67728,135.49645",2026-06-29
30,AEON Food Style 東心斎橋店,大阪,超市｜24 小時・免稅,東心齋橋・中央區（獨立超市・原 foodium）,大阪市中央区東心斎橋 1-5-9,34.67216,135.50592,24 小時營業・全年無休,查無（參考 Yahoo 3.79・193 則）,超市・依採購,"https://www.google.com/maps/search/?api=1&query=34.67216,135.50592",2026-07-14
31,Ikari Super 南海なんば店,大阪,超市｜高級進口超市,なんばスカイオ 3F・難波（南海難波站直結）,大阪市中央区難波 5-1-60 なんばスカイオ 3F,34.66385,135.50086,平日 10:00-22:00｜週日假日 10:00-21:00,查無（參考 Yahoo 3.98・202 則）,超市・依採購,"https://www.google.com/maps/search/?api=1&query=34.66385,135.50086",2026-06-29
32,Takashimaya 高島屋大阪店（難波ダイニングメゾン）,大阪,百貨美食街｜デパ地下＋餐廳樓層,高島屋大阪店・難波（南海/御堂筋難波站直結）,大阪市中央区難波 5-1-5,34.66466,135.50089,本館 10:00-20:00｜餐廳 7-9F 11:00-23:00｜1/1・1/2 公休,查無（參考 Yahoo 4.36・738 則）,"餐廳樓層 約 ¥1,500–3,000／B1 外帶 ¥500–1,500","https://www.google.com/maps/search/?api=1&query=34.66466,135.50089",2026-07-12
33,Life セントラルスクエアなんば店,大阪,超市｜JR難波/OCAT 旁,セントラルスクエアなんば・浪速區,大阪市浪速区湊町 1-2-3,34.66661,135.49609,每日 9:00-24:00（麵包坊 08:00 起）,查無（參考 Yahoo 3.94・795 則）,超市・依採購,"https://www.google.com/maps/search/?api=1&query=34.66661,135.49609",2026-06-29
34,Daimaru 大丸心斎橋店（本館）,大阪,百貨｜デパ地下美食・餐廳樓層,大丸心斎橋店 本館・心齋橋（御堂筋線直結）,大阪市中央区心斎橋筋 1-7-1,34.67392,135.50096,本館 10:00-20:00｜B2 心斎橋フードホール 11:00-22:00｜10F 餐廳 11:00-22:00,約 4.0,"10F 餐廳 約 ¥2,000–4,000／B1-B2 甜點/外帶 ¥300–2,000","https://www.google.com/maps/search/?api=1&query=34.67392,135.50096",2026-07-14
35,Teppanyaki Minami 鉄板焼みなみ（飯店內 10F）,大阪,鐵板燒（有素食菜單）,Swissôtel 南海大阪 10F・難波,大阪市中央区難波 5-1-60 スイスホテル南海大阪 10F,34.66237,135.50183,午餐 11:30-15:00（週末假日 11:00-） / 晚餐 17:30-21:00（週五六及假日前 -21:30）,食べログ 3.31（TripAdvisor 3.9）,"午約 ¥9,000／晚約 ¥15,000／人（需預約）","https://www.google.com/maps/search/?api=1&query=34.66237,135.50183",2026-06-29
36,SH'UN Wine & Dine（飯店內 6F）,大阪,餐酒館｜串炸・日式小盤（有素食套餐）,Swissôtel 南海大阪 6F・難波,大阪市中央区難波 5-1-60 スイスホテル南海大阪 6F,34.66237,135.50183,午餐（三-日）11:30-15:00 / 晚餐（三四日）17:30-21:00、（五六）-22:30｜週一二公休,查無（飯店餐廳）,"午 ¥5,500 起／晚 ¥8,500–12,500／人","https://www.google.com/maps/search/?api=1&query=34.66237,135.50183",2026-06-29
37,Table36（飯店內 36F 天空餐廳）,大阪,自助餐｜36F 天空・歐陸料理（有素食選項）,Swissôtel 南海大阪 36F・難波,大阪市中央区難波 5-1-60 スイスホテル南海大阪 36F,34.66237,135.50183,早餐 6:30-10:30｜午餐 11:30-15:00 / 晚餐 18:00-23:30（週五六 -24:30）,4.2 ★（約 667 則）,"午自助 ¥5,900／週末早午餐 ¥6,900／人","https://www.google.com/maps/search/?api=1&query=34.66237,135.50183",2026-06-29
38,Naki Vegan Sweets,大阪,純素 Vegan｜咖啡・甜點・烘焙,難波・中央區（獨立小店・約 4 席）,大阪市中央区難波 1-5-5,34.66751,135.50222,13:00-21:00；週三公休,HappyCow 4.5（53 則）,"約 ¥800–1,500／人（甜點＋飲品）","https://www.google.com/maps/search/?api=1&query=34.66751,135.50222",2026-06-30
39,Vegan Cafe Tsukineko,大阪,純素 Vegan｜咖啡・輕食,難波・浪速區（エベンエゼルビル 1F・7 席）,大阪市浪速区難波中 1-14-12 エベンエゼルビル 1F,34.66301,135.49951,平日 11:00-19:00／週末 10:00-19:00（建議查 IG）,Tripadvisor 5.0（HappyCow 65 則）,"約 ¥1,000–2,000／人","https://www.google.com/maps/search/?api=1&query=34.66301,135.49951",2026-06-30
40,Vegan Ramen by Playpen Friends,大阪,純素 Vegan｜拉麵,北堀江・西區（大樓 2F・近四橋/心齋橋）,大阪市西区北堀江 1-14-20 2F,34.67326,135.49440,週一 12:00-20:00；週二三・週五~日 11:30-22:00；週四公休,HappyCow 4.5（90 則）,"約 ¥1,200–1,800／人","https://www.google.com/maps/search/?api=1&query=34.67326,135.49440",2026-06-30
